PLOT NO.,Age,Ground Cover,Slope_Class,PLOT SIZE_M2,YEAR,MONTH ,DAY,RAINFALL_MM,TOTAL_L
14,0,B,B,220.95,2005,8,19,11,0
14,0,B,B,220.95,2005,8,20,11.6,10
14,0,B,B,220.95,2005,8,22,2.4,0
14,0,B,B,220.95,2005,8,23,10,0
14,0,B,B,220.95,2005,8,25,4.4,0
14,0,B,B,220.95,2005,8,26,1,0
14,0,B,B,220.95,2005,8,28,3,0
14,0,B,B,220.95,2005,8,29,2.8,0
15,0,B,C,219.25,2005,8,4,30.6,210
15,0,B,C,219.25,2005,8,6,19,250
15,0,B,C,219.25,2005,8,10,16,70
15,0,B,C,219.25,2005,8,14,6,10
15,0,B,C,219.25,2005,8,18,1,0
15,0,B,C,219.25,2005,8,19,11,15
15,0,B,C,219.25,2005,8,20,11.6,90
15,0,B,C,219.25,2005,8,22,2.4,0
15,0,B,C,219.25,2005,8,23,10,30
15,0,B,C,219.25,2005,8,25,4.4,5
15,0,B,C,219.25,2005,8,26,1,0
15,0,B,C,219.25,2005,8,28,3,0
15,0,B,C,219.25,2005,8,29,2.8,0
1,0,A,C,222.57,2005,9,5,25.2,340
1,0,A,C,222.57,2005,9,9,35.4,890
1,0,A,C,222.57,2005,9,11,1,0
1,0,A,C,222.57,2005,9,12,16,75
1,0,A,C,222.57,2005,9,16,4,0
1,0,A,C,222.57,2005,9,18,5,5
1,0,A,C,222.57,2005,9,21,3.8,0
1,0,A,C,222.57,2005,9,22,30,1142
1,0,A,C,222.57,2005,9,26,10.8,5
1,0,A,C,222.57,2005,9,28,1.2,0
1,0,A,C,222.57,2005,9,29,7.8,5
2,0,A,A,219.5,2005,9,5,25.2,440
2,0,A,A,219.5,2005,9,9,35.4,1100
2,0,A,A,219.5,2005,9,11,1,0
2,0,A,A,219.5,2005,9,12,16,175
2,0,A,A,219.5,2005,9,16,4,0
2,0,A,A,219.5,2005,9,18,5,0
2,0,A,A,219.5,2005,9,21,3.8,0
2,0,A,A,219.5,2005,9,22,30,1335
2,0,A,A,219.5,2005,9,26,10.8,10
2,0,A,A,219.5,2005,9,28,1.2,0
2,0,A,A,219.5,2005,9,29,7.8,5
3,0,A,A,218.69,2005,9,5,25.2,510
3,0,A,A,218.69,2005,9,9,35.4,940
3,0,A,A,218.69,2005,9,11,1,0
3,0,A,A,218.69,2005,9,12,16,170
3,0,A,A,218.69,2005,9,16,4,0
3,0,A,A,218.69,2005,9,18,5,0
3,0,A,A,218.69,2005,9,21,3.8,0
3,0,A,A,218.69,2005,9,22,30,1247
3,0,A,A,218.69,2005,9,26,10.8,10
3,0,A,A,218.69,2005,9,28,1.2,0
3,0,A,A,218.69,2005,9,29,7.8,5
4,0,A,A,218.49,2005,9,5,25.2,850
4,0,A,A,218.49,2005,9,9,35.4,1493
4,0,A,A,218.49,2005,9,11,1,0
4,0,A,A,218.49,2005,9,12,16,255
4,0,A,A,218.49,2005,9,16,4,0
4,0,A,A,218.49,2005,9,18,5,15
4,0,A,A,218.49,2005,9,21,3.8,0
4,0,A,A,218.49,2005,9,22,30,1943
4,0,A,A,218.49,2005,9,26,10.8,60
4,0,A,A,218.49,2005,9,28,1.2,0
4,0,A,A,218.49,2005,9,29,7.8,70
5,0,A,A,218.61,2005,9,5,25.2,730
5,0,A,A,218.61,2005,9,9,35.4,1759
5,0,A,A,218.61,2005,9,11,1,0
5,0,A,A,218.61,2005,9,12,16,200
5,0,A,A,218.61,2005,9,16,4,0
5,0,A,A,218.61,2005,9,18,5,5
5,0,A,A,218.61,2005,9,21,3.8,0
5,0,A,A,218.61,2005,9,22,30,2299
5,0,A,A,218.61,2005,9,26,10.8,30
5,0,A,A,218.61,2005,9,28,1.2,0
5,0,A,A,218.61,2005,9,29,7.8,40
6,0,A,C,218.03,2005,9,5,25.2,750
6,0,A,C,218.03,2005,9,9,35.4,1670
6,0,A,C,218.03,2005,9,11,1,0
6,0,A,C,218.03,2005,9,12,16,210
6,0,A,C,218.03,2005,9,16,4,0
6,0,A,C,218.03,2005,9,18,5,5
6,0,A,C,218.03,2005,9,21,3.8,0
6,0,A,C,218.03,2005,9,22,30,1940
6,0,A,C,218.03,2005,9,26,10.8,10
6,0,A,C,218.03,2005,9,28,1.2,0
6,0,A,C,218.03,2005,9,29,7.8,20
7,0,A,A,218.08,2005,9,5,25.2,770
7,0,A,A,218.08,2005,9,9,35.4,1325
7,0,A,A,218.08,2005,9,11,1,0
7,0,A,A,218.08,2005,9,12,16,200
7,0,A,A,218.08,2005,9,16,4,0
7,0,A,A,218.08,2005,9,18,5,0
7,0,A,A,218.08,2005,9,21,3.8,0
7,0,A,A,218.08,2005,9,22,30,1325
7,0,A,A,218.08,2005,9,26,10.8,15
7,0,A,A,218.08,2005,9,28,1.2,0
7,0,A,A,218.08,2005,9,29,7.8,30
8,0,B,C,217.88,2005,9,5,25.2,230
8,0,B,C,217.88,2005,9,9,35.4,840
8,0,B,C,217.88,2005,9,11,1,0
8,0,B,C,217.88,2005,9,12,16,130
8,0,B,C,217.88,2005,9,16,4,0
8,0,B,C,217.88,2005,9,18,5,0
8,0,B,C,217.88,2005,9,21,3.8,0
8,0,B,C,217.88,2005,9,22,30,1117
8,0,B,C,217.88,2005,9,26,10.8,
8,0,B,C,217.88,2005,9,28,1.2,
8,0,B,C,217.88,2005,9,29,7.8,
9,0,B,C,217.3,2005,9,5,25.2,
9,0,B,C,217.3,2005,9,9,35.4,
9,0,B,C,217.3,2005,9,11,1,0
9,0,B,C,217.3,2005,9,12,16,10
9,0,B,C,217.3,2005,9,16,4,0
9,0,B,C,217.3,2005,9,18,5,0
9,0,B,C,217.3,2005,9,21,3.8,0
9,0,B,C,217.3,2005,9,22,30,480
9,0,B,C,217.3,2005,9,26,10.8,0
9,0,B,C,217.3,2005,9,28,1.2,0
9,0,B,C,217.3,2005,9,29,7.8,5
10,0,B,C,221.45,2005,9,5,25.2,30
10,0,B,C,221.45,2005,9,9,35.4,70
10,0,B,C,221.45,2005,9,11,1,0
10,0,B,C,221.45,2005,9,12,16,20
10,0,B,C,221.45,2005,9,16,4,0
10,0,B,C,221.45,2005,9,18,5,0
10,0,B,C,221.45,2005,9,21,3.8,0
10,0,B,C,221.45,2005,9,22,30,130
10,0,B,C,221.45,2005,9,26,10.8,0
10,0,B,C,221.45,2005,9,28,1.2,0
10,0,B,C,221.45,2005,9,29,7.8,5
11,0,A,A,220.43,2005,9,5,25.2,460
11,0,A,A,220.43,2005,9,9,35.4,1100
11,0,A,A,220.43,2005,9,11,1,0
11,0,A,A,220.43,2005,9,12,16,150
11,0,A,A,220.43,2005,9,16,4,0
11,0,A,A,220.43,2005,9,18,5,10
11,0,A,A,220.43,2005,9,21,3.8,0
11,0,A,A,220.43,2005,9,22,30,1820
11,0,A,A,220.43,2005,9,26,10.8,20
11,0,A,A,220.43,2005,9,28,1.2,0
11,0,A,A,220.43,2005,9,29,7.8,35
12,0,A,C,217.49,2005,9,5,25.2,140
12,0,A,C,217.49,2005,9,9,35.4,525
12,0,A,C,217.49,2005,9,11,1,0
12,0,A,C,217.49,2005,9,12,16,45
12,0,A,C,217.49,2005,9,16,4,0
12,0,A,C,217.49,2005,9,18,5,0
12,0,A,C,217.49,2005,9,21,3.8,0
12,0,A,C,217.49,2005,9,22,30,1130
12,0,A,C,217.49,2005,9,26,10.8,0
12,0,A,C,217.49,2005,9,28,1.2,0
12,0,A,C,217.49,2005,9,29,7.8,0
13,0,B,A,220.97,2005,9,5,25.2,100
13,0,B,A,220.97,2005,9,9,35.4,220
13,0,B,A,220.97,2005,9,11,1,0
13,0,B,A,220.97,2005,9,12,16,30
13,0,B,A,220.97,2005,9,16,4,0
13,0,B,A,220.97,2005,9,18,5,5
13,0,B,A,220.97,2005,9,21,3.8,0
13,0,B,A,220.97,2005,9,22,30,490
13,0,B,A,220.97,2005,9,26,10.8,5
13,0,B,A,220.97,2005,9,28,1.2,0
13,0,B,A,220.97,2005,9,29,7.8,10
14,0,B,B,220.95,2005,9,5,25.2,50
14,0,B,B,220.95,2005,9,9,35.4,190
14,0,B,B,220.95,2005,9,11,1,0
14,0,B,B,220.95,2005,9,12,16,30
14,0,B,B,220.95,2005,9,16,4,0
14,0,B,B,220.95,2005,9,18,5,0
14,0,B,B,220.95,2005,9,21,3.8,0
14,0,B,B,220.95,2005,9,22,30,415
14,0,B,B,220.95,2005,9,26,10.8,0
14,0,B,B,220.95,2005,9,28,1.2,0
14,0,B,B,220.95,2005,9,29,7.8,10
15,0,B,C,219.25,2005,9,5,25.2,200
15,0,B,C,219.25,2005,9,9,35.4,510
15,0,B,C,219.25,2005,9,11,1,0
15,0,B,C,219.25,2005,9,12,16,100
15,0,B,C,219.25,2005,9,16,4,0
15,0,B,C,219.25,2005,9,18,5,10
15,0,B,C,219.25,2005,9,21,3.8,0
15,0,B,C,219.25,2005,9,22,30,760
15,0,B,C,219.25,2005,9,26,10.8,15
15,0,B,C,219.25,2005,9,28,1.2,0
15,0,B,C,219.25,2005,9,29,7.8,30
1,0,A,C,222.57,2005,10,1,0.4,0
1,0,A,C,222.57,2005,10,4,36,2222
1,0,A,C,222.57,2005,10,10,4.6,5
1,0,A,C,222.57,2005,10,11,17,160
1,0,A,C,222.57,2005,10,13,8,60
1,0,A,C,222.57,2005,10,14,1,0
1,0,A,C,222.57,2005,10,15,2.2,0
1,0,A,C,222.57,2005,10,17,2,0
1,0,A,C,222.57,2005,10,18,8.6,10
1,0,A,C,222.57,2005,10,19,25.4,1502
1,0,A,C,222.57,2005,10,21,15.4,645
1,0,A,C,222.57,2005,10,23,68.8,9332
1,0,A,C,222.57,2005,10,25,12,130
1,0,A,C,222.57,2005,10,26,5.4,0
1,0,A,C,222.57,2005,10,27,3.6,0
1,0,A,C,222.57,2005,10,29,7.8,20
1,0,A,C,222.57,2005,10,31,51.6,4112
2,0,A,A,219.5,2005,10,1,0.4,0
2,0,A,A,219.5,2005,10,4,36,2370
2,0,A,A,219.5,2005,10,10,4.6,0
2,0,A,A,219.5,2005,10,11,17,420
2,0,A,A,219.5,2005,10,13,8,160
2,0,A,A,219.5,2005,10,14,1,0
2,0,A,A,219.5,2005,10,15,2.2,0
2,0,A,A,219.5,2005,10,17,2,0
2,0,A,A,219.5,2005,10,18,8.6,50
2,0,A,A,219.5,2005,10,19,25.4,1560
2,0,A,A,219.5,2005,10,21,15.4,1110
2,0,A,A,219.5,2005,10,23,68.8,7140
2,0,A,A,219.5,2005,10,25,12,250
2,0,A,A,219.5,2005,10,26,5.4,0
2,0,A,A,219.5,2005,10,27,3.6,5
2,0,A,A,219.5,2005,10,29,7.8,50
2,0,A,A,219.5,2005,10,31,51.6,3405
3,0,A,A,218.69,2005,10,1,0.4,0
3,0,A,A,218.69,2005,10,4,36,1832
3,0,A,A,218.69,2005,10,10,4.6,0
3,0,A,A,218.69,2005,10,11,17,300
3,0,A,A,218.69,2005,10,13,8,110
3,0,A,A,218.69,2005,10,14,1,0
3,0,A,A,218.69,2005,10,15,2.2,0
3,0,A,A,218.69,2005,10,17,2,0
3,0,A,A,218.69,2005,10,18,8.6,30
3,0,A,A,218.69,2005,10,19,25.4,1562
3,0,A,A,218.69,2005,10,21,15.4,850
3,0,A,A,218.69,2005,10,23,68.8,7592
3,0,A,A,218.69,2005,10,25,12,200
3,0,A,A,218.69,2005,10,26,5.4,10
3,0,A,A,218.69,2005,10,27,3.6,5
3,0,A,A,218.69,2005,10,29,7.8,50
3,0,A,A,218.69,2005,10,31,51.6,3362
4,0,A,A,218.49,2005,10,1,0.4,0
4,0,A,A,218.49,2005,10,4,36,2933
4,0,A,A,218.49,2005,10,10,4.6,15
4,0,A,A,218.49,2005,10,11,17,590
4,0,A,A,218.49,2005,10,13,8,240
4,0,A,A,218.49,2005,10,14,1,0
4,0,A,A,218.49,2005,10,15,2.2,0
4,0,A,A,218.49,2005,10,17,2,0
4,0,A,A,218.49,2005,10,18,8.6,100
4,0,A,A,218.49,2005,10,19,25.4,1943
4,0,A,A,218.49,2005,10,21,15.4,1080
4,0,A,A,218.49,2005,10,23,68.8,5723
4,0,A,A,218.49,2005,10,25,12,340
4,0,A,A,218.49,2005,10,26,5.4,70
4,0,A,A,218.49,2005,10,27,3.6,65
4,0,A,A,218.49,2005,10,29,7.8,180
4,0,A,A,218.49,2005,10,31,51.6,3653
5,0,A,A,218.61,2005,10,1,0.4,0
5,0,A,A,218.61,2005,10,4,36,2569
5,0,A,A,218.61,2005,10,10,4.6,10
5,0,A,A,218.61,2005,10,11,17,570
5,0,A,A,218.61,2005,10,13,8,230
5,0,A,A,218.61,2005,10,14,1,0
5,0,A,A,218.61,2005,10,15,2.2,0
5,0,A,A,218.61,2005,10,17,2,0
5,0,A,A,218.61,2005,10,18,8.6,70
5,0,A,A,218.61,2005,10,19,25.4,2569
5,0,A,A,218.61,2005,10,21,15.4,1129
5,0,A,A,218.61,2005,10,23,68.8,41314
5,0,A,A,218.61,2005,10,25,12,445
5,0,A,A,218.61,2005,10,26,5.4,90
5,0,A,A,218.61,2005,10,27,3.6,75
5,0,A,A,218.61,2005,10,29,7.8,190
5,0,A,A,218.61,2005,10,31,51.6,6799
6,0,A,C,218.03,2005,10,1,0.4,0
6,0,A,C,218.03,2005,10,4,36,2930
6,0,A,C,218.03,2005,10,10,4.6,0
6,0,A,C,218.03,2005,10,11,17,465
6,0,A,C,218.03,2005,10,13,8,160
6,0,A,C,218.03,2005,10,14,1,0
6,0,A,C,218.03,2005,10,15,2.2,0
6,0,A,C,218.03,2005,10,17,2,0
6,0,A,C,218.03,2005,10,18,8.6,40
6,0,A,C,218.03,2005,10,19,25.4,1580
6,0,A,C,218.03,2005,10,21,15.4,1120
6,0,A,C,218.03,2005,10,23,68.8,5090
6,0,A,C,218.03,2005,10,25,12,220
6,0,A,C,218.03,2005,10,26,5.4,20
6,0,A,C,218.03,2005,10,27,3.6,15
6,0,A,C,218.03,2005,10,29,7.8,70
6,0,A,C,218.03,2005,10,31,51.6,4235
7,0,A,A,218.08,2005,10,1,0.4,0
7,0,A,A,218.08,2005,10,4,36,2225
7,0,A,A,218.08,2005,10,10,4.6,0
7,0,A,A,218.08,2005,10,11,17,420
7,0,A,A,218.08,2005,10,13,8,180
7,0,A,A,218.08,2005,10,14,1,0
7,0,A,A,218.08,2005,10,15,2.2,0
7,0,A,A,218.08,2005,10,17,2,0
7,0,A,A,218.08,2005,10,18,8.6,30
7,0,A,A,218.08,2005,10,19,25.4,1595
7,0,A,A,218.08,2005,10,21,15.4,970
7,0,A,A,218.08,2005,10,23,68.8,4205
7,0,A,A,218.08,2005,10,25,12,180
7,0,A,A,218.08,2005,10,26,5.4,40
7,0,A,A,218.08,2005,10,27,3.6,40
7,0,A,A,218.08,2005,10,29,7.8,90
7,0,A,A,218.08,2005,10,31,51.6,3215
8,0,B,C,217.88,2005,10,1,0.4,0
8,0,B,C,217.88,2005,10,4,36,2377
8,0,B,C,217.88,2005,10,10,4.6,5
8,0,B,C,217.88,2005,10,11,17,310
8,0,B,C,217.88,2005,10,13,8,140
8,0,B,C,217.88,2005,10,14,1,0
8,0,B,C,217.88,2005,10,15,2.2,0
8,0,B,C,217.88,2005,10,17,2,0
8,0,B,C,217.88,2005,10,18,8.6,40
8,0,B,C,217.88,2005,10,19,25.4,1297
8,0,B,C,217.88,2005,10,21,15.4,665
8,0,B,C,217.88,2005,10,23,68.8,7597
8,0,B,C,217.88,2005,10,25,12,195
8,0,B,C,217.88,2005,10,26,5.4,0
8,0,B,C,217.88,2005,10,27,3.6,50
8,0,B,C,217.88,2005,10,29,7.8,130
8,0,B,C,217.88,2005,10,31,51.6,4132
9,0,B,C,217.3,2005,10,1,0.4,0
9,0,B,C,217.3,2005,10,4,36,1526
9,0,B,C,217.3,2005,10,10,4.6,0
9,0,B,C,217.3,2005,10,11,17,10
9,0,B,C,217.3,2005,10,13,8,5
9,0,B,C,217.3,2005,10,14,1,0
9,0,B,C,217.3,2005,10,15,2.2,0
9,0,B,C,217.3,2005,10,17,2,0
9,0,B,C,217.3,2005,10,18,8.6,0
9,0,B,C,217.3,2005,10,19,25.4,750
9,0,B,C,217.3,2005,10,21,15.4,200
9,0,B,C,217.3,2005,10,23,68.8,7466
9,0,B,C,217.3,2005,10,25,12,10
9,0,B,C,217.3,2005,10,26,5.4,0
9,0,B,C,217.3,2005,10,27,3.6,0
9,0,B,C,217.3,2005,10,29,7.8,10
9,0,B,C,217.3,2005,10,31,51.6,4451
10,0,B,C,221.45,2005,10,1,0.4,0
10,0,B,C,221.45,2005,10,4,36,660
10,0,B,C,221.45,2005,10,10,4.6,5
10,0,B,C,221.45,2005,10,11,17,30
10,0,B,C,221.45,2005,10,13,8,15
10,0,B,C,221.45,2005,10,14,1,0
10,0,B,C,221.45,2005,10,15,2.2,0
10,0,B,C,221.45,2005,10,17,2,0
10,0,B,C,221.45,2005,10,18,8.6,0
10,0,B,C,221.45,2005,10,19,25.4,220
10,0,B,C,221.45,2005,10,21,15.4,75
10,0,B,C,221.45,2005,10,23,68.8,3920
10,0,B,C,221.45,2005,10,25,12,15
10,0,B,C,221.45,2005,10,26,5.4,0
10,0,B,C,221.45,2005,10,27,3.6,0
10,0,B,C,221.45,2005,10,29,7.8,15
10,0,B,C,221.45,2005,10,31,51.6,2480
11,0,A,A,220.43,2005,10,1,0.4,0
11,0,A,A,220.43,2005,10,4,36,3980
11,0,A,A,220.43,2005,10,10,4.6,5
11,0,A,A,220.43,2005,10,11,17,330
11,0,A,A,220.43,2005,10,13,8,130
11,0,A,A,220.43,2005,10,14,1,0
11,0,A,A,220.43,2005,10,15,2.2,
11,0,A,A,220.43,2005,10,17,2,
11,0,A,A,220.43,2005,10,18,8.6,
11,0,A,A,220.43,2005,10,19,25.4,
11,0,A,A,220.43,2005,10,21,15.4,
11,0,A,A,220.43,2005,10,23,68.8,
11,0,A,A,220.43,2005,10,25,12,170
11,0,A,A,220.43,2005,10,26,5.4,20
11,0,A,A,220.43,2005,10,27,3.6,20
11,0,A,A,220.43,2005,10,29,7.8,90
11,0,A,A,220.43,2005,10,31,51.6,7760
12,0,A,C,217.49,2005,10,1,0.4,0
12,0,A,C,217.49,2005,10,4,36,2570
12,0,A,C,217.49,2005,10,10,4.6,0
12,0,A,C,217.49,2005,10,11,17,90
12,0,A,C,217.49,2005,10,13,8,35
12,0,A,C,217.49,2005,10,14,1,0
12,0,A,C,217.49,2005,10,15,2.2,0
12,0,A,C,217.49,2005,10,17,2,0
12,0,A,C,217.49,2005,10,18,8.6,0
12,0,A,C,217.49,2005,10,19,25.4,1400
12,0,A,C,217.49,2005,10,21,15.4,605
12,0,A,C,217.49,2005,10,23,68.8,18374
12,0,A,C,217.49,2005,10,25,12,25
12,0,A,C,217.49,2005,10,26,5.4,0
12,0,A,C,217.49,2005,10,27,3.6,0
12,0,A,C,217.49,2005,10,29,7.8,5
12,0,A,C,217.49,2005,10,31,51.6,4820
13,0,B,A,220.97,2005,10,1,0.4,0
13,0,B,A,220.97,2005,10,4,36,2017
13,0,B,A,220.97,2005,10,10,4.6,5
13,0,B,A,220.97,2005,10,11,17,75
13,0,B,A,220.97,2005,10,13,8,30
13,0,B,A,220.97,2005,10,14,1,0
13,0,B,A,220.97,2005,10,15,2.2,0
13,0,B,A,220.97,2005,10,17,2,0
13,0,B,A,220.97,2005,10,18,8.6,20
